---,IngredientID,Text,isFinalBranch,NextDialogueBranch,RequiredNumber
adamBranch26,adamIngredients1:5,Things used to be so simple when I was a kid. When mom was alive. I miss her.,FALSE,adamBranch27,1
adamBranch27,adamIngredients1:5,"This grilled cheese really takes me back to those simpler times.. That’s comfort food, right?",TRUE,None,1
adamBranch28,adamIngredients2:1,I always thought that all macaroni was elbow-shaped.,FALSE,adamBranch29,1
adamBranch29,adamIngredients2:1,I actually had an argument with a friend about it and it blew my mind that other shapes of macaroni exist.,TRUE,None,1
adamBranch30,adamIngredients2:1,You can’t make mac and cheese without elbow macaroni though. You just can’t. It wouldn’t be mac and cheese. Not to me at least.,TRUE,None,2
adamBranch31,adamIngredients2:1,Mom would always let me be the one to test if the macaroni was perfectly cooked. It needs to be just a little undercooked with quite a chew to it,FALSE,adamBranch32,3
adamBranch32,adamIngredients2:1,"When the whole dish gets baked in the oven, the mac turns out perfect every time.",TRUE,None,3
adamBranch33,adamIngredients2:2,We always had to worry about money so we never used any of the fancy expensive cheese you’d see at the grocery store.,FALSE,adamBranch34,1
adamBranch34,adamIngredients2:2,Shredded cheddar cheese was relatively cheap and still tasted great.,TRUE,None,1
adamBranch35,adamIngredients2:2,Mom’s special technique was to cook the macaroni in the milk instead of in a separate bot of boiling water. It saves me from having to wash an extra pot!,FALSE,adamBranch36,2
adamBranch36,adamIngredients2:2,She’d add half the bag of cheese once the mac was ready and it would instantly become super creamy and delicious.,TRUE,None,2
adamBranch37,adamIngredients2:2,"You had to eat it right away, or it would turn lumpy and sticky. I never had a problem finishing my bowl right away though.",TRUE,None,3
adamBranch38,adamIngredients2:3,"Sometimes when mom was having a good week, she would fry up some bacon bits on the side while the mac was cooking.",FALSE,adamBranch39,1
adamBranch39,adamIngredients2:3,She’d mix the crisp bacon into the mac and cheese. Those were good days.,TRUE,None,1
adamBranch40,adamIngredients2:3,"We’d get all cozy on the couch and watch TV, bowls of warm, comforting pasta in hand.",FALSE,adamBranch41,2
adamBranch41,adamIngredients2:3,Bonus points if it was a rainy day.,TRUE,None,2
adamBranch42,adamIngredients2:3,Thanks for adding bacon bits here. It feels like a special day.,TRUE,None,3
adamBranch43,adamIngredients2:4,Breadcrumbs are what you put on top of mac and cheese when you can’t afford parmesan cheese but still want that crispy layer over it.,TRUE,None,1
adamBranch44,adamIngredients2:4,It’s such a simple addition but it really does make it feel special. Mom would always make her own breadcrumbs with whatever stale bread we had in the house.,FALSE,adamBranch45,2
adamBranch45,adamIngredients2:4,(It was almost always Wonder Bread. I just really like Wonder Bread okay?),TRUE,None,2
adamBranch46,adamIngredients2:4,"If we were in a rush, mom would just sprinkle breadcrumbs over the mac and cheese without baking it. It would still turn out great, just not as crunchy.",TRUE,None,3
adamBranch47,adamIngredients2:5,"As much as I hated being in the army, the best meal I ever had during my time in basic training was the chili and mac, MRE Menu #10.",FALSE,adamBranch48,1
adamBranch48,adamIngredients2:5,It was the closest thing to the mac and cheese that we used to have at home.,FALSE,adamBranch49,1
adamBranch49,adamIngredients2:5,"Rip up some of the beef jerky and mix it through the chilli mac, and you could almost imagine you were having bacon bits.",FALSE,adamBranch50,1
adamBranch50,adamIngredients2:5,Sometimes I would even trade the coveted jalapeno cheese spread along with a cherry blueberry cobbler just to get my hands on the chilli and mac.,FALSE,adamBranch51,1
adamBranch51,adamIngredients2:5,"Cheese is a precious commodity in the field, but a taste of home is worth so much more.",TRUE,None,1
adamBranch52,adamIngredients3:1,There’s something special about conchiglie. The seashells just scoop up the perfect amount of soup.,TRUE,None,1
adamBranch53,adamIngredients3:1,"Sometimes you get little bits of chicken inside the shell too, they’re like budget clams except you can eat the shells too.",TRUE,None,2
adamBranch54,adamIngredients3:1,Mom would exclusively make her chicken noodle soup with seashells.,FALSE,adamBranch55,3
adamBranch55,adamIngredients3:1,She used to call them chickie shellies.,TRUE,None,3
adamBranch56,adamIngredients3:1,Ever since she died.. I just call them conchiglie now.,TRUE,None,4
adamBranch57,adamIngredients3:2,I know it’s a super obvious thing to say but you can’t make chicken noodle soup without a hearty chicken broth to build on.,TRUE,None,1
adamBranch58,adamIngredients3:2,"The only secret to a good chicken broth is just a lot of TLC. That stands for tender, loving care. ",TRUE,None,2
adamBranch59,adamIngredients3:2,Time and a lot of love. My dad could never make a decent chicken broth.,FALSE,adamBranch60,3
adamBranch60,adamIngredients3:2,Not that he was ever there to make one.,TRUE,None,3
adamBranch61,adamIngredients3:2,He didn’t even have the balls to come to her funeral.,TRUE,None,4
adamBranch62,adamIngredients3:3,You’re nice. I’m gonna let you in on a family trade secret: my mom’s secret ingredient in her chicken noodle soup is fresh dill.,TRUE,None,1
adamBranch63,adamIngredients3:3,"I wouldn’t say dill is an absolute necessity when making this dish, but man, it just adds that little sum’n sum’n.",TRUE,None,2
adamBranch64,adamIngredients3:3,You know what definitely spoils a chicken noodle soup though? Cilantro. Absolutely hate it.,TRUE,None,3
adamBranch65,adamIngredients3:3,One of my strongest memories as a child was throwing out a whole bowl of salad because dad scattered some cilantro on it.,FALSE,adamBranch66,4
adamBranch66,adamIngredients3:3,I don’t remember much else about him.,TRUE,None,4
adamBranch67,adamIngredients3:3,Mom never put cilantro in her chicken noodle soup.,TRUE,None,5
adamBranch68,adamIngredients3:4,I’m so glad these chicken bits aren’t chicken breast.,TRUE,None,1
adamBranch69,adamIngredients3:4,"It’s not that I hate chicken breast, it just always turns out dry and sandy, like eating the dirt when you’re crouching for cover in a trench.",TRUE,None,2
adamBranch70,adamIngredients3:4,This chicken is really well done. You could probably get away with serving up chicken breast and it’d still taste great.,TRUE,None,3
adamBranch71,adamIngredients3:5,"Every other chicken noodle soup sucks but yours is alright, mom’s is still the best tho.",FALSE,adamBranch72,1
adamBranch72,adamIngredients3:5,I miss her so much. I should have been there for her.,FALSE,adamBranch73,1
adamBranch73,adamIngredients3:5,Thank you for this. This is the closest chicken noodle soup to what she used to make for me.,TRUE,None,1
adamBranch74,adamIngredients4:1,"Every Christmas, mom would let me have a whole tub of B&J’s chocolate chip cookie dough chunks as a special treat just for me.",FALSE,adamBranch75,1
adamBranch75,adamIngredients4:1,She would only ever buy them when they went on sale because it would be too expensive for us otherwise.,TRUE,None,1
adamBranch76,adamIngredients4:1,"When I got older, I limited myself to just three scoops whenever I had a craving for ice cream.",FALSE,adamBranch77,2
adamBranch77,adamIngredients4:1,It just wasn’t healthy and I didn’t think it was necessary to spend too much on desserts.,TRUE,None,2
adamBranch78,adamIngredients4:1,Mom would still insist on having me take an extra scoop. I’d always give her the extra scoop.,TRUE,None,3
adamBranch79,adamIngredients4:1,"Last Christmas I had the entire tub to myself for the first time in a long time. I set aside a scoop for mom though, for old times’ sake.",FALSE,adamBranch80,4
adamBranch80,adamIngredients4:1,How do you give presents to those who aren’t present with us anymore?,TRUE,None,4
adamBranch81,adamIngredients4:2,"I know chocolate sauce is really kiddish, but I just really enjoy seeing chocolate streaks all across the surface of my ice cream.",TRUE,None,1
adamBranch82,adamIngredients4:2,"When I was younger, mom would pretend to be an artist and splatter the chocolate sauce all over the ice cream.",FALSE,adamBranch83,2
adamBranch83,adamIngredients4:2,"It would get everywhere, all over the counter top, on my hair, on her clothes, just a complete mess. A fun mess, though.",TRUE,None,2
adamBranch84,adamIngredients4:2,She used to tell me she had always wanted to be an artist. She even went to art school for awhile.,FALSE,adamBranch85,3
adamBranch85,adamIngredients4:2,"She never told me if she finished school. “Throwing paint on a canvas doesn’t pay the bills”, is what she always said.",TRUE,None,3
adamBranch86,adamIngredients4:3,Isn’t it funny that whipped cream comes in a can instead of having to be whipped?,FALSE,adamBranch87,1
adamBranch87,adamIngredients4:3, I’d always thought that Reddi-Wip was the only way that whipped cream was made until mom made whipped cream from scratch one time.,TRUE,None,1
adamBranch88,adamIngredients4:3,"She was making a pumpkin pie for Halloween one year, and the whipped cream that mom and I worked so hard on was soooo much fluffier than the canned whipped cream. ",FALSE,adamBranch89,2
adamBranch89,adamIngredients4:3,It felt like we’d spent the entire day just whisking cream.,TRUE,None,2
adamBranch90,adamIngredients4:3,I would rather buy a can of whipped cream nowadays instead of working it by hand.,FALSE,adamBranch91,3
adamBranch91,adamIngredients4:3,It’s just so much extra effort when I can just press a button and instantly have whipped cream in my mouth.,TRUE,None,3
adamBranch92,adamIngredients4:4,"Everyone’s got their favorite dessert fruit. You can have your mangos, your bananas and your blueberries, but strawberries are mine.",TRUE,None,1
adamBranch93,adamIngredients4:4,I’ve just always loved strawberries. I don’t ever remember a time I didn’t like them. ,TRUE,None,2
adamBranch94,adamIngredients4:4,"Even the ones that are a little unripe - tart and not very sweet, are perfectly acceptable to me. ",FALSE,adamBranch95,3
adamBranch95,adamIngredients4:4,I guess I’m just naturally inclined towards the taste of strawberries.,TRUE,None,3
adamBranch96,adamIngredients4:5,"The day that mom died, I was six weeks into basic training. My aunt was the one who contacted the Red Cross.",FALSE,adamBranch97,1
adamBranch97,adamIngredients4:5,The commander pulled me aside during morning drill training and broke the news to me. I was on the next flight home on emergency leave.,FALSE,adamBranch98,1
adamBranch98,adamIngredients4:5,"The rest of that day was a blur. I remember eating a whole tub of ice cream on the couch, the same couch that mom used to fall asleep on while watching TV.",FALSE,adamBranch99,1
adamBranch99,adamIngredients4:5,"That overwhelming emptiness never left. In some ways, I still feel like I haven’t left that couch.",FALSE,adamBranch100,1
adamBranch100,adamIngredients4:5,I tried to continue basic training because it seemed like the right thing to do but.. I just couldn’t no matter how hard I pushed myself. My heart just wasn’t in it anymore.,FALSE,adamBranch101,1
adamBranch101,adamIngredients4:5,Two weeks after the funeral I was given an ELS discharge from command. I was deeply depressed.,FALSE,adamBranch102,1
adamBranch102,adamIngredients4:5,My commanding officer told me that no hard feelings were had and wished me luck. He was nice.,TRUE,None,1
adamBranch103,adamIngredientsFinal,I really do appreciate the meal. This has been very comforting but I get the feeling I won’t see you ever again. Or maybe I will. Who’s to say?,FALSE,adamBranch104,1
adamBranch104,adamIngredientsFinal,"This has all felt like a dream, and I’m slowly but surely waking up now.",FALSE,adamBranch105,1
adamBranch105,adamIngredientsFinal,"Maybe one day when I feel better I can return the favor to you. Semper fi, friend.",TRUE,None,1
tutorialIntro1,None,"Well aren't you a fresh face. First time here, eh?",FALSE,tutorialIntro2,1
tutorialIntro2,None,Tell you what. I'll make things simple for you. Make me some toast. Real simple stuff. You got this.,TRUE,None,1
tutorialBranch1,tutorialIngredients1:1,Well aren’t you a rebel? You picked the only other option involving bread. Real nice. I like that.,TRUE,None,1
tutorialBranch2,tutorialIngredients1:1,"I actually really like breadsticks but as you can see, I am but a humble stickman, and I simply must *stick* to my non-breadstick stickman diet.",TRUE,None,2
tutorialBranch3,tutorialIngredients1:1,"How could I ever say no to a literal pile of breadsticks? You definitely shouldn’t throw the whole pile at me though, that would not be ideal at all.",TRUE,None,3
tutorialBranch4,tutorialIngredients1:5,*crunching noises* [The stickman somehow manages to ingest the entire pile of breadsticks all in one go].,FALSE,tutorialBranch5,1
tutorialBranch5,tutorialIngredients1:5,"What, never seen what happens when you give a stickman a pile of breadsticks? Well, I guess there’s a first time for everything, eh?",TRUE,None,1
tutorialBranch6,tutorialIngredients2:1,"I absolutely do not want any breadsticks. Definitely not. Why is that, you ask? I’d rather not get into it.",TRUE,None,1
tutorialBranch7,tutorialIngredients2:1,"Putting a slice of bread into the toaster is honestly not very difficult if I do say so myself, but if you couldn’t already tell, I am a stickman without opposable thumbs.",TRUE,None,2
tutorialBranch8,tutorialIngredients2:2,"Isn’t this a cool restaurant? All you have to do is think up a dish, and it’s there on the table. I designed all of this myself.",TRUE,None,1
tutorialBranch9,tutorialIngredients2:2,"Whenever you’re done adding more ingredients to the simplest dish in the world, you might want to try tapping the plate. It’s tradition ‘round these parts.",TRUE,None,2
tutorialBranch10,tutorialIngredients2:5,Toast toast toast toast toast toast toast toast toast toast toast toast toast toast toast…,FALSE,tutorialBranch11,1
tutorialBranch11,tutorialIngredients2:5,"Oh sorry, where am I? Ah yes, the new person. Carry on, nothing to see here.",TRUE,None,1
tutorialBranch12,tutorialIngredients3:1,Did you know eggs are symbolic of new life in lots of places around the world?,FALSE,tutorialBranch13,1
tutorialBranch13,tutorialIngredients3:1,"Here in my restaurant, it’s only symbolic of one thing: the witching hour has begun.",TRUE,None,1
tutorialBranch14,tutorialIngredients3:1,What’s so special about the witching hour? I haven’t the foggiest idea. Time seems to stand still for you normal folk though.,TRUE,None,2
tutorialBranch15,tutorialIngredients3:2,A little sprinkling of salt and pepper goes a long way. A tiny dash of love goes a mile further.,TRUE,None,1
tutorialBranch16,tutorialIngredients3:2,"That little drop of love might be all you really need to bring someone back from a really dark place. Probably best if you tried it out yourself, though.",TRUE,None,2
tutorialBranch17,tutorialIngredients3:5,Fried egg good. Hard boiled egg bad. You smart.,TRUE,None,1
tutorialBranch18,tutorialIngredients4:1,"I’ve had a lot of people come in to The Three Rivers, standing exactly where you’re standing right now.",FALSE,tutorialBranch19,1
tutorialBranch19,tutorialIngredients4:1,Never have I ever had a literal block of chocolate served to me on a plate.,TRUE,None,1
tutorialBranch20,tutorialIngredients4:1,How curious...,TRUE,None,2
tutorialBranch21,tutorialIngredients4:5,How does a stickman eat without having fingers? Um… look there behind you!,FALSE,tutorialBranch22,1
tutorialBranch22,tutorialIngredients4:5,"[When you turn back to face the stickman, the block of chocolate has vanished from sight.]",TRUE,None,1
tutorialBranch23,tutorialIngredientsFinal,"Oh my goodness, pardon my manners! I was so hungry this witching hour, I’d forgotten to explain why you’re even here in the first place. ",FALSE,tutorialBranch24,1
tutorialBranch24,tutorialIngredientsFinal,"You’re working for me as of hmm.. five minutes ago, apparently! What do you do here? Well, if you haven’t caught on yet, you’re here to serve food to spooky ghosts. ",FALSE,tutorialBranch25,1
tutorialBranch25,tutorialIngredientsFinal,"Nothing to worry about, absolutely harmless. Except that one guy that one time. But still! Only 100% harmless ghosts come to The Three Rivers.",FALSE,tutorialBranch26,1
tutorialBranch26,tutorialIngredientsFinal,"Well, I’d love to talk more, but I’m afraid I am way too full now and I must take a nap immediately. Good luck and toodalooOOoOooOooOOo~",TRUE,None,1
xBranch1,xIngredientsFinal,You've reached the end of all the content in this demo.,FALSE,xBranch2,1
xBranch2,xIngredientsFinal,"I'd love to have written up more characters but unfortunately, I lack the skill or time to do the art for every single ingredient and dish along with character portraits @.@",FALSE,xBranch3,1
xBranch3,xIngredientsFinal,I'm leaving these last two characters in because I didn't want my work to go to waste.,TRUE,None,1
ianBranch1,ianIngredientsFinal,"This game was so fun (and also so stressful) to make, I'm so glad you played through to the end.",FALSE,ianBranch2,1
ianBranch2,ianIngredientsFinal,Now roll the actual credits!,TRUE,None,1
undefined,None,Error 42069: Dialogue not found sorry pls blame the dev he dumb,TRUE,None,0
